Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Pointe-aux-Trembles,45.67706,-73.50251999999999,Parc-nature de la Pointe-aux-Prairies,45.6788338495138,-73.50116154250362,Park
Pointe-aux-Trembles,45.67706,-73.50251999999999,Dépanneur Mario,45.67111867930406,-73.49600075365504,Convenience Store
Pointe-aux-Trembles,45.67706,-73.50251999999999,Metro Plus De La Rousselière,45.66936361034833,-73.50662164646042,Supermarket
Pointe-aux-Trembles,45.67706,-73.50251999999999,Proxim,45.66874851420949,-73.4995118769045,Pharmacy
Saint-Michel Est,45.56157,-73.59912,Marché Aux Puces Saint-Michel,45.56250202333212,-73.60507872134025,Flea Market
Saint-Michel Est,45.56157,-73.59912,Poissonnerie Mediterraniénne,45.562328,-73.605625,Fish & Chips Shop
Saint-Michel Est,45.56157,-73.59912,Bar Zoe,45.55967330506728,-73.59754183697827,Karaoke Bar
Saint-Michel Est,45.56157,-73.59912,Addison Electronique,45.56950763930784,-73.60338188587338,Electronics Store
Saint-Michel Est,45.56157,-73.59912,Pho Ngon,45.56206180190316,-73.60764332441863,Vietnamese Restaurant
Saint-Michel Est,45.56157,-73.59912,O Cantinho,45.56317147356363,-73.61008008430775,Portuguese Restaurant
Saint-Michel Est,45.56157,-73.59912,Restaurant Kim Hour,45.56183602728234,-73.6051118131419,Chinese Restaurant
Saint-Michel Est,45.56157,-73.59912,Boulangerie Patisserie La Conca D'oro,45.55432076193857,-73.60152319200319,Bakery
Saint-Michel Est,45.56157,-73.59912,STM Station Saint-Michel,45.55942508017045,-73.59974911105431,Metro Station
Saint-Michel Est,45.56157,-73.59912,Pho Nam Quan,45.56666235410084,-73.60687798451794,Vietnamese Restaurant
Saint-Michel Est,45.56157,-73.59912,Café Le Carrefour,45.55606319534229,-73.59504981615245,Coffee Shop
Saint-Michel Est,45.56157,-73.59912,Marché Kim Phat,45.56890710589764,-73.60517687427918,Supermarket
Saint-Michel Est,45.56157,-73.59912,Le Petit Coin du Mexique,45.55341816477594,-73.60220588174121,Mexican Restaurant
Saint-Michel Est,45.56157,-73.59912,Petro-Canada,45.560984,-73.602396,Gas Station
Saint-Michel Est,45.56157,-73.59912,PJC Jean Coutu,45.555025,-73.595908,Pharmacy
Saint-Michel Est,45.56157,-73.59912,Pho Nam,45.56315182906556,-73.60561136641692,Vietnamese Restaurant
